Timestamp,Are you going actually going trick or treating yourself?,Your gender:,How old are you?,Which country do you live in?,"Which state, province, county do you live in?", [100 Grand Bar], [Bottle Caps], [Butterfinger], [Cadbury Creme Eggs], [Candy Corn]
10/24/2016 5:09:23,No,Male,22,Canada,Ontario,JOY,MEH,JOY,JOY,DESPAIR
10/24/2016 5:09:55,No,Male,45,usa,il,MEH,JOY,JOY,DESPAIR,DESPAIR
10/24/2016 5:13:07,No,Female,48,US,Colorado,JOY,JOY,JOY,MEH,MEH
10/24/2016 5:14:17,No,Male,57,usa,il,JOY,DESPAIR,JOY,JOY,JOY
10/24/2016 5:14:25,Yes,Male,42,USA,South Dakota,MEH,MEH,JOY,JOY,DESPAIR
10/24/2016 5:16:43,No,Male,41,USA,Georgia,JOY,JOY,JOY,JOY,MEH
10/24/2016 5:16:51,Yes,Male,47,usa,il,DESPAIR,MEH,JOY,JOY,DESPAIR
10/24/2016 5:16:55,No,Male,28,Canada,Ontario,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:17:49,Yes,Male,44,USA,PA,MEH,MEH,MEH,JOY,DESPAIR
10/24/2016 5:18:51,No,Female,41,UK,,DESPAIR,MEH,DESPAIR,JOY,DESPAIR
10/24/2016 5:20:21,No,Other,34,United States of America,IN,JOY,MEH,JOY,MEH,MEH
10/24/2016 5:21:20,No,Female,46,USA,the Mitten,MEH,DESPAIR,MEH,MEH,DESPAIR
10/24/2016 5:21:28,No,Male,41,uSA,California,MEH,DESPAIR,JOY,JOY,DESPAIR
10/24/2016 5:22:13,Yes,Male,45,Japan,Tokyo,MEH,MEH,JOY,DESPAIR,JOY
10/24/2016 5:22:31,No,Male,40,united states,ca,MEH,JOY,JOY,MEH,MEH
10/24/2016 5:24:08,No,Female,31,USA ,Ny,MEH,JOY,JOY,JOY,JOY
10/24/2016 5:24:11,No,Female,33,USA,WA,JOY,DESPAIR,JOY,DESPAIR,DESPAIR
10/24/2016 5:26:18,No,Male,35,canada,Ontario,,MEH,JOY,JOY,DESPAIR
10/24/2016 5:26:35,Yes,Male,49,USA,NJ,MEH,MEH,JOY,DESPAIR,DESPAIR
10/24/2016 5:27:00,No,Male,44,united states,nh,MEH,JOY,MEH,DESPAIR,MEH
10/24/2016 5:30:40,No,Male,45,United States,Tennessee,JOY,JOY,JOY,MEH,JOY
10/24/2016 5:31:49,No,Male,34,canada,newfoundland,MEH,DESPAIR,JOY,DESPAIR,DESPAIR
10/24/2016 5:33:19,No,Male,48,United States,Maryland,MEH,JOY,JOY,DESPAIR,DESPAIR
10/24/2016 5:33:28,No,Female,16,United States,Pennsylvania ,MEH,MEH,JOY,JOY,
10/24/2016 5:34:36,No,Male,60,US,Delaware,,DESPAIR,MEH,JOY,MEH
10/24/2016 5:34:37,No,Male,30,us,ma,MEH,DESPAIR,JOY,JOY,MEH
10/24/2016 5:34:40,No,Female,51,USA,Michigan,MEH,MEH,MEH,MEH,DESPAIR
10/24/2016 5:35:46,No,I'd rather not say,31,United States,Florida,MEH,MEH,DESPAIR,DESPAIR,DESPAIR
10/24/2016 5:36:13,No,Male,51,USA,SC,MEH,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:36:44,No,I'd rather not say,33,USA,MN,JOY,DESPAIR,JOY,MEH,DESPAIR
10/24/2016 5:36:57,No,Male,40,USA,Michigan,,,JOY,JOY,JOY
10/24/2016 5:37:19,Yes,Male,38,USA,TN,JOY,MEH,JOY,MEH,MEH
10/24/2016 5:37:49,No,Male,35,United States,NH,MEH,JOY,JOY,DESPAIR,MEH
10/24/2016 5:38:41,No,Male,54,US,NYC,JOY,MEH,JOY,DESPAIR,JOY
10/24/2016 5:39:58,No,Male,33,USA,Pennsylvania,MEH,JOY,JOY,MEH,JOY
