"","num_critic_for_reviews","duration","gross","movie_title","num_voted_users","movie_imdb_link","num_user_for_reviews","country","content_rating","budget","title_year","imdb_score"
"1",723,178,760505847,"Avatar ",886204,"http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1",3054,"USA","PG-13",237000000,2009,7.9
"2",302,169,309404152,"Pirates of the Caribbean: At World's End ",471220,"http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1",1238,"USA","PG-13",300000000,2007,7.1
"3",673,183,330249062,"Batman v Superman: Dawn of Justice ",371639,"http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1",3018,"USA","PG-13",250000000,2016,6.9
"4",187,106,144512310,"The Fast and the Furious ",272223,"http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1",988,"USA","PG-13",38000000,2001,6.7
"5",209,131,27667947,"Hannibal Rising ",86374,"http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1",392,"UK","R",50000000,2007,6.2
"6",99,95,27067160,"The Story of Us ",18404,"http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1",150,"USA","R",50000000,1999,5.9
"7",298,125,26616999,"The Host ",92461,"http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1",347,"USA","PG-13",40000000,2013,5.9
"8",131,98,26536120,"Basic ",49926,"http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1",286,"Germany","R",50000000,2003,6.5
"9",146,110,26199517,"Blood Work ",34356,"http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1",260,"USA","R",50000000,2002,6.4
"10",245,118,25450527,"The International ",80196,"http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1",190,"USA","R",50000000,2009,6.5
"11",104,101,25407250,"Escape from L.A. ",54021,"http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1",227,"USA","R",50000000,1996,5.7
"12",4,60,NA,"Twisted ",7945,"http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1",22,"USA",NA,NA,NA,7.5
"13",162,90,23159305,"The Iron Giant ",128455,"http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1",514,"USA","PG",70000000,1999,8
"14",259,119,24006726,"The Life Aquatic with Steve Zissou ",139535,"http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1",632,"USA","R",50000000,2004,7.3
"15",362,166,127490802,"The Curious Case of Benjamin Button ",459346,"http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1",822,"USA","PG-13",150000000,2008,7.8
"16",79,139,20389967,"Free State of Jones ",3077,"http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1",47,"USA","R",50000000,2016,6.7
"17",141,130,19593740,"The Life of David Gale ",88270,"http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1",420,"USA","R",50000000,2003,7.5
"18",59,100,19118247,"Man of the House ",19829,"http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1",94,"USA","PG-13",40000000,2005,5.4
"19",236,114,26442251,"Run All Night ",76010,"http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1",205,"USA","R",50000000,2015,6.6
"20",356,96,17114882,"Eastern Promises ",189249,"http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1",398,"USA","R",25000000,2007,7.7
"21",120,110,18472363,"Into the Blue ",63599,"http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1",208,"USA","PG-13",50000000,2005,5.8
"22",111,158,14131298,"The Messenger: The Story of Joan of Arc ",55889,"http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1",390,"France","R",390000000,1999,6.4
"23",208,102,21557240,"Your Highness ",85237,"http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1",274,"USA","R",49900000,2011,5.6
"24",174,84,21283440,"Dream House ",46239,"http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1",137,"USA","PG-13",55000000,2011,6
"25",59,115,10556196,"Mad City ",16562,"http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1",73,"USA","PG-13",50000000,1997,6.2
"26",500,132,146405371,"X-Men: First Class ",518537,"http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1",698,"USA","PG-13",160000000,2011,7.8
"27",22,99,16671505,"Baby's Day Out ",33186,"http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1",78,"USA","PG",50000000,1994,5.9
"28",34,135,10400000,"The Scarlet Letter ",12037,"http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1",90,"USA","R",50000000,1995,5.1
"29",214,108,9528092,"Fair Game ",38513,"http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1",127,"USA","PG-13",22000000,2010,6.8
"30",28,43,NA,"Defiance ",33535,"http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1",149,"USA","TV-MA",NA,NA,7
"31",186,127,10137232,"Domino ",58015,"http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1",374,"France","R",50000000,2005,6
"32",50,107,9795017,"Jade ",9227,"http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1",70,"USA","R",50000000,1995,5.1
"33",180,95,20488579,"Gamer ",113483,"http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1",245,"USA","R",50000000,2009,5.8
"34",231,124,19445217,"Beautiful Creatures ",67796,"http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1",258,"USA","PG-13",60000000,2013,6.2
"35",105,109,8355815,"Death to Smoochy ",34730,"http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1",341,"UK","R",55000000,2002,6.4
"36",226,102,28837115,"Zoolander 2 ",34964,"http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1",150,"USA","PG-13",50000000,2016,4.8
"37",389,137,281666058,"The Hunger Games: Mockingjay - Part 2 ",166137,"http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1",383,"USA","PG-13",160000000,2015,6.6
"38",75,88,6471394,"The Big Bounce ",15880,"http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1",93,"USA","PG-13",50000000,2004,4.9
"39",82,87,6291602,"What Planet Are You From? ",8070,"http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1",91,"USA","R",50000000,2000,5.6
"40",296,104,10706786,"Drive Angry ",81800,"http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1",211,"USA","R",50000000,2011,5.5
"41",103,96,8742261,"Street Fighter: The Legend of Chun-Li ",19824,"http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1",179,"Canada","PG-13",18000000,2009,3.7
"42",98,85,43905746,"The One ",77684,"http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1",294,"USA","PG-13",49000000,2001,5.9
"43",30,64,NA,"Outlander ",50391,"http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1",148,"USA","TV-MA",NA,NA,8.5
"44",48,104,21413502,"The Adventures of Ford Fairlane ",14429,"http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1",113,"USA","R",40000000,1990,6.3
"45",195,135,7994115,"Pirate Radio ",90932,"http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1",209,"UK","R",NA,2009,7.4
"46",223,190,124107476,"Traffic ",170684,"http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1",867,"USA","R",48000000,2000,7.6
"47",149,127,197171806,"Indiana Jones and the Last Crusade ",515306,"http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1",477,"USA","PG-13",48000000,1989,8.3
"48",235,109,63143812,"The Sorcerer's Apprentice ",124185,"http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1",238,"USA","PG",150000000,2010,6.1
"49",324,129,12802907,"Anna Karenina ",70886,"http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1",226,"UK","R",NA,2012,6.6
