num_critic_for_reviews,duration,gross,movie_title,num_voted_users,movie_imdb_link,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score
723,178,760505847,Avatar ,886204,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,USA,PG-13,237000000,2009,7.9
302,169,309404152,Pirates of the Caribbean: At World's End ,471220,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,USA,PG-13,300000000,2007,7.1
673,183,330249062,Batman v Superman: Dawn of Justice ,371639,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,USA,PG-13,250000000,2016,6.9
187,106,144512310,The Fast and the Furious ,272223,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,USA,PG-13,38000000,2001,6.7
209,131,27667947,Hannibal Rising ,86374,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,392,UK,R,50000000,2007,6.2
298,125,26616999,The Host ,92461,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,347,USA,PG-13,40000000,2013,5.9
131,98,26536120,Basic ,49926,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,286,Germany,R,50000000,2003,6.5
146,110,26199517,Blood Work ,34356,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,260,USA,R,50000000,2002,6.4
245,118,25450527,The International ,80196,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,190,USA,R,50000000,2009,6.5
259,119,24006726,The Life Aquatic with Steve Zissou ,139535,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,632,USA,R,50000000,2004,7.3
362,166,127490802,The Curious Case of Benjamin Button ,459346,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,USA,PG-13,150000000,2008,7.8
79,139,20389967,Free State of Jones ,3077,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,47,USA,R,50000000,2016,6.7
141,130,19593740,The Life of David Gale ,88270,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,420,USA,R,50000000,2003,7.5
59,100,19118247,Man of the House ,19829,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,94,USA,PG-13,40000000,2005,5.4
236,114,26442251,Run All Night ,76010,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,205,USA,R,50000000,2015,6.6
356,96,17114882,Eastern Promises ,189249,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,398,USA,R,25000000,2007,7.7
120,110,18472363,Into the Blue ,63599,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,208,USA,PG-13,50000000,2005,5.8
208,102,21557240,Your Highness ,85237,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,274,USA,R,49900000,2011,5.6
174,84,21283440,Dream House ,46239,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,137,USA,PG-13,55000000,2011,6
500,132,146405371,X-Men: First Class ,518537,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,USA,PG-13,160000000,2011,7.8
214,108,9528092,Fair Game ,38513,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,127,USA,PG-13,22000000,2010,6.8
186,127,10137232,Domino ,58015,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,374,France,R,50000000,2005,6
180,95,20488579,Gamer ,113483,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,245,USA,R,50000000,2009,5.8
231,124,19445217,Beautiful Creatures ,67796,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,258,USA,PG-13,60000000,2013,6.2
