State,Gender,Year,Top Name,Occurences
AK,F,1910,Mary,14
AK,F,1911,Mary,12
AK,F,1912,Mary,9
AK,F,1913,Mary,21
AK,F,1914,Mary,22
AK,F,1915,Mary,23
AK,F,1916,Mary,18
AK,F,1917,Mary,21
AK,F,1918,Mary,27
AK,F,1919,Mary,22
AK,F,1920,Mary,38
AK,F,1921,Mary,36
AK,F,1922,Mary,29
AK,F,1923,Mary,26
AK,F,1924,Mary,41
AK,F,1925,Mary,24
AK,F,1926,Mary,39
AK,F,1927,Mary,30
AK,F,1928,Mary,27
AK,F,1929,Mary,25
AK,F,1930,Mary,35
AK,F,1931,Mary,41
AK,F,1932,Mary,26
AK,F,1933,Mary,25
AK,F,1934,Mary,31
AK,F,1935,Mary,29
AK,F,1936,Mary,33
AK,F,1937,Mary,41
AK,F,1938,Mary,37
AK,F,1939,Mary,28
AK,F,1940,Mary,43
AK,F,1941,Mary,40
AK,F,1942,Mary,43
AK,F,1943,Mary,47
AK,F,1944,Mary,42
AK,F,1945,Mary,47
AK,F,1946,Mary,47
AK,F,1947,Mary,63
AK,F,1948,Mary,71
AK,F,1949,Mary,79
AK,F,1950,Mary,71
AK,F,1951,Linda,79
AK,F,1952,Linda,90
AK,F,1953,Linda,108
AK,F,1954,Debra,105
AK,F,1955,Debra,94
AK,F,1956,Debra,103
AK,F,1957,Mary,99
AK,F,1958,Mary,84
AK,F,1959,Mary,61
AK,F,1960,Mary,78
AK,F,1961,Mary,80
AK,F,1962,Mary,86
AK,F,1963,Mary,78
AK,F,1964,Mary,84
AK,F,1965,Lisa,70
AK,F,1966,Mary,67
AK,F,1967,Lisa,68
AK,F,1968,Michelle,82
AK,F,1969,Michelle,89
AK,F,1970,Jennifer,81
AK,F,1971,Jennifer,109
AK,F,1972,Jennifer,130
AK,F,1973,Jennifer,128
AK,F,1974,Jennifer,135
AK,F,1975,Jennifer,114
AK,F,1976,Jennifer,124
AK,F,1977,Jennifer,140
AK,F,1978,Jennifer,129
AK,F,1979,Jennifer,126
AK,F,1980,Jessica,116
AK,F,1981,Jennifer,106
AK,F,1982,Jennifer,145
AK,F,1983,Jennifer,155
AK,F,1984,Jessica,157
AK,F,1985,Jessica,164
AK,F,1986,Jessica,158
AK,F,1987,Jessica,156
AK,F,1988,Jessica,134
AK,F,1989,Jessica,112
AK,F,1990,Jessica,112
AK,F,1991,Jessica,107
AK,F,1992,Jessica,102
AK,F,1993,Jessica,85
AK,F,1994,Jessica,76
AK,F,1995,Samantha,61
AK,F,1996,Ashley,57
AK,F,1997,Hannah,67
AK,F,1998,Emily,60
AK,F,1999,Emily,62
AK,F,2000,Hannah,58
AK,F,2001,Madison,54
AK,F,2002,Madison,57
AK,F,2003,Hannah,56
AK,F,2004,Emma,62
AK,F,2005,Madison,53
AK,F,2006,Emma,49
AK,F,2007,Isabella,52
AK,F,2008,Emma,51
AK,F,2009,Isabella,57
AK,F,2010,Sophia,60
AK,F,2011,Olivia,60
AK,F,2012,Emma,57
AK,M,1910,John,8
AK,M,1911,John,15
AK,M,1912,John,16
AK,M,1913,John,19
AK,M,1914,John,17
AK,M,1915,John,21
AK,M,1916,John,25
AK,M,1917,John,26
AK,M,1918,John,23
AK,M,1919,John,24
AK,M,1920,John,21
AK,M,1921,John,35
AK,M,1922,Robert,22
AK,M,1923,John,27
AK,M,1924,John,36
AK,M,1925,John,32
AK,M,1926,John,26
AK,M,1927,John,22
AK,M,1928,John,28
AK,M,1929,John,23
AK,M,1930,John,26
AK,M,1931,John,31
AK,M,1932,John,23
AK,M,1933,John,29
AK,M,1934,John,25
AK,M,1935,John,37
AK,M,1936,Robert,35
AK,M,1937,Robert,26
AK,M,1938,Robert,27
AK,M,1939,John,35
AK,M,1940,John,43
AK,M,1941,Robert,40
AK,M,1942,John,46
AK,M,1943,John,36
AK,M,1944,Robert,44
AK,M,1945,Robert,40
AK,M,1946,John,59
AK,M,1947,John,75
AK,M,1948,John,98
AK,M,1949,John,95
AK,M,1950,Robert,91
AK,M,1951,Robert,100
AK,M,1952,James,133
AK,M,1953,David,159
AK,M,1954,Michael,184
AK,M,1955,David,179
AK,M,1956,Michael,163
AK,M,1957,John,171
AK,M,1958,Michael,151
AK,M,1959,John,139
AK,M,1960,David,151
AK,M,1961,David,145
AK,M,1962,John,157
AK,M,1963,David,144
AK,M,1964,John,151
AK,M,1965,John,150
AK,M,1966,Michael,128
AK,M,1967,David,131
AK,M,1968,John,148
AK,M,1969,Michael,148
AK,M,1970,Michael,166
AK,M,1971,John,136
AK,M,1972,Michael,146
AK,M,1973,Michael,142
AK,M,1974,Michael,151
AK,M,1975,Michael,147
AK,M,1976,Jason,146
AK,M,1977,Jason,133
AK,M,1978,Michael,149
AK,M,1979,Christopher,141
AK,M,1980,Michael,145
AK,M,1981,Michael,149
AK,M,1982,Michael,206
AK,M,1983,Christopher,188
AK,M,1984,Christopher,200
AK,M,1985,Michael,189
AK,M,1986,Michael,170
AK,M,1987,Christopher,174
AK,M,1988,Michael,181
AK,M,1989,Michael,159
AK,M,1990,Michael,197
AK,M,1991,Michael,149
AK,M,1992,Michael,159
AK,M,1993,Michael,110
AK,M,1994,Michael,101
AK,M,1995,Michael,88
AK,M,1996,Michael,101
AK,M,1997,Jacob,86
AK,M,1998,Michael,78
AK,M,1999,Jacob,96
AK,M,2000,Michael,74
AK,M,2001,Michael,67
AK,M,2002,Jacob,75
AK,M,2003,Jacob,62
