Vertex 1,Vertex 2,Voted Same,Vertex1_Total,Vertex2_Total,Percent_Agreement
Akaka,Alexander,117,245,242,0.483
Akaka,Allard,84,245,237,0.354
Akaka,Baucus,208,245,245,0.849
Akaka,Bayh,200,245,238,0.840
Akaka,Bennett,121,245,242,0.500
Akaka,Biden,168,245,177,0.949
Akaka,Bingaman,228,245,244,0.934
Akaka,Bond,111,245,232,0.478
Akaka,Boxer,211,245,232,0.909
Akaka,Brown,224,245,238,0.941
Akaka,Brownback,73,245,161,0.453
Akaka,Bunning,94,245,243,0.387
Akaka,Burr,92,245,239,0.385
Akaka,Byrd,213,245,244,0.873
Akaka,Cantwell,225,245,242,0.930
Akaka,Cardin,229,245,243,0.942
Akaka,Carper,222,245,242,0.917
Akaka,Casey,228,245,245,0.931
Akaka,Chambliss,97,245,240,0.404
Akaka,Clinton,222,245,239,0.929
Akaka,Coburn,64,245,212,0.302
Akaka,Cochran,117,245,241,0.485
Akaka,Coleman,152,245,242,0.628
Akaka,Collins,169,245,245,0.690
Akaka,Conrad,220,245,242,0.909
Akaka,Corker,109,245,243,0.449
Akaka,Cornyn,90,245,243,0.370
Akaka,Craig,115,245,243,0.473
Akaka,Crapo,100,245,230,0.435
Akaka,DeMint,75,245,238,0.315
Akaka,Dodd,173,245,183,0.945
Akaka,Dole,91,245,232,0.392
Akaka,Domenici,128,245,239,0.536
Akaka,Dorgan,207,245,242,0.855
Akaka,Durbin,226,245,242,0.934
Akaka,Ensign,89,245,235,0.379
Akaka,Enzi,84,245,226,0.372
Akaka,Feingold,219,245,245,0.894
Akaka,Feinstein,224,245,243,0.922
Akaka,Graham,103,245,237,0.435
Akaka,Grassley,115,245,245,0.469
Akaka,Gregg,97,245,238,0.408
Akaka,Hagel,126,245,231,0.545
Akaka,Harkin,226,245,242,0.934
Akaka,Hatch,108,245,239,0.452
Akaka,Hutchison,102,245,240,0.425
Akaka,Inhofe,77,245,233,0.330
Akaka,Inouye,210,245,217,0.968
Akaka,Isakson,104,245,243,0.428
Akaka,Kennedy,221,245,240,0.921
Akaka,Kerry,218,245,233,0.936
Akaka,Klobuchar,230,245,245,0.939
Akaka,Kohl,230,245,245,0.939
Akaka,Kyl,96,245,238,0.403
Akaka,Landrieu,198,245,242,0.818
Akaka,Lautenberg,223,245,241,0.925
Akaka,Leahy,228,245,243,0.938
Akaka,Levin,223,245,242,0.921
Akaka,Lieberman,215,245,242,0.888
Akaka,Lincoln,220,245,241,0.913
Akaka,Lott,107,245,240,0.446
Akaka,Lugar,146,245,245,0.596
Akaka,Martinez,109,245,241,0.452
Akaka,McCain,56,245,120,0.467
Akaka,McCaskill,197,245,245,0.804
Akaka,McConnell,107,245,245,0.437
Akaka,Menendez,228,245,244,0.934
Akaka,Mikulski,227,245,244,0.930
Akaka,Murkowski,134,245,240,0.558
Akaka,Murray,231,245,244,0.947
Akaka,Nelson (FL),218,245,241,0.905
Akaka,Nelson (NE),196,245,244,0.803
Akaka,Obama,199,245,217,0.917
Akaka,Pryor,209,245,245,0.853
Akaka,Reed,230,245,243,0.947
Akaka,Reid,225,245,245,0.918
Akaka,Roberts,102,245,235,0.434
Akaka,Rockefeller,205,245,232,0.884
Akaka,Salazar,229,245,245,0.935
Akaka,Sanders,221,245,243,0.909
Akaka,Schumer,219,245,235,0.932
Akaka,Sessions,100,245,237,0.422
Akaka,Shelby,112,245,244,0.459
Akaka,Smith,153,245,243,0.630
Akaka,Snowe,177,245,245,0.722
Akaka,Specter,159,245,242,0.657
Akaka,Stabenow,220,245,243,0.905
Akaka,Stevens,130,245,231,0.563
Akaka,Sununu,106,245,242,0.438
Akaka,Tester,203,245,243,0.835
Akaka,Thune,113,245,243,0.465
Akaka,Vitter,84,245,225,0.373
Akaka,Voinovich,138,245,237,0.582
Akaka,Warner,125,245,242,0.517
Akaka,Webb,211,245,245,0.861
Akaka,Whitehouse,234,245,244,0.959
Akaka,Wyden,232,245,244,0.951
Alexander,Allard,197,242,237,0.831
Alexander,Baucus,134,242,245,0.554
Alexander,Bayh,116,242,238,0.487
Alexander,Bennett,203,242,242,0.839
Alexander,Biden,75,242,177,0.424
Alexander,Bingaman,117,242,244,0.483
Alexander,Bond,195,242,232,0.841
Alexander,Boxer,106,242,232,0.457
Alexander,Brown,109,242,238,0.458
Alexander,Brownback,134,242,161,0.832
Alexander,Bunning,202,242,243,0.835
Alexander,Burr,198,242,239,0.828
Alexander,Byrd,131,242,244,0.541
Alexander,Cantwell,119,242,242,0.492
Alexander,Cardin,116,242,243,0.479
Alexander,Carper,124,242,242,0.512
Alexander,Casey,110,242,245,0.455
Alexander,Chambliss,198,242,240,0.825
Alexander,Clinton,107,242,239,0.448
Alexander,Coburn,163,242,212,0.769
Alexander,Cochran,206,242,241,0.855
Alexander,Coleman,181,242,242,0.748
Alexander,Collins,175,242,245,0.723
Alexander,Conrad,126,242,242,0.521
Alexander,Corker,207,242,243,0.855
Alexander,Cornyn,206,242,243,0.851
Alexander,Craig,198,242,243,0.818
Alexander,Crapo,195,242,230,0.848
Alexander,DeMint,187,242,238,0.786
Alexander,Dodd,81,242,183,0.443
Alexander,Dole,197,242,232,0.849
Alexander,Domenici,193,242,239,0.808
Alexander,Dorgan,129,242,242,0.533
Alexander,Durbin,108,242,242,0.446
Alexander,Ensign,194,242,235,0.826
Alexander,Enzi,194,242,226,0.858
Alexander,Feingold,103,242,245,0.426
Alexander,Feinstein,117,242,243,0.483
Alexander,Graham,186,242,237,0.785
Alexander,Grassley,193,242,245,0.798
Alexander,Gregg,193,242,238,0.811
Alexander,Hagel,162,242,231,0.701
Alexander,Harkin,115,242,242,0.475
Alexander,Hatch,201,242,239,0.841
Alexander,Hutchison,199,242,240,0.829
Alexander,Inhofe,188,242,233,0.807
Alexander,Inouye,92,242,217,0.424
Alexander,Isakson,205,242,243,0.847
Alexander,Kennedy,120,242,240,0.500
Alexander,Kerry,114,242,233,0.489
Alexander,Klobuchar,118,242,245,0.488
Alexander,Kohl,110,242,245,0.455
Alexander,Kyl,189,242,238,0.794
Alexander,Landrieu,134,242,242,0.554
Alexander,Lautenberg,114,242,241,0.473
Alexander,Leahy,116,242,243,0.479
Alexander,Levin,111,242,242,0.459
Alexander,Lieberman,127,242,242,0.525
Alexander,Lincoln,127,242,241,0.527
Alexander,Lott,192,242,240,0.800
Alexander,Lugar,190,242,245,0.785
Alexander,Martinez,191,242,241,0.793
Alexander,McCain,101,242,120,0.842
Alexander,McCaskill,131,242,245,0.541
Alexander,McConnell,213,242,245,0.880
Alexander,Menendez,114,242,244,0.471
Alexander,Mikulski,117,242,244,0.483
Alexander,Murkowski,200,242,240,0.833
Alexander,Murray,118,242,244,0.488
Alexander,Nelson (FL),114,242,241,0.473
Alexander,Nelson (NE),145,242,244,0.599
Alexander,Obama,99,242,217,0.456
Alexander,Pryor,145,242,245,0.599
Alexander,Reed,116,242,243,0.479
Alexander,Reid,119,242,245,0.492
Alexander,Roberts,198,242,235,0.843
Alexander,Rockefeller,119,242,232,0.513
Alexander,Salazar,127,242,245,0.525
Alexander,Sanders,115,242,243,0.475
Alexander,Schumer,109,242,235,0.464
Alexander,Sessions,195,242,237,0.823
Alexander,Shelby,200,242,244,0.826
Alexander,Smith,166,242,243,0.686
Alexander,Snowe,169,242,245,0.698
Alexander,Specter,168,242,242,0.694
Alexander,Stabenow,116,242,243,0.479
Alexander,Stevens,193,242,231,0.835
Alexander,Sununu,201,242,242,0.831
Alexander,Tester,130,242,243,0.537
Alexander,Thune,197,242,243,0.814
Alexander,Vitter,172,242,225,0.764
Alexander,Voinovich,172,242,237,0.726
Alexander,Warner,202,242,242,0.835
Alexander,Webb,125,242,245,0.517
Alexander,Whitehouse,113,242,244,0.467
Alexander,Wyden,116,242,244,0.479
Allard,Baucus,106,237,245,0.447
Allard,Bayh,97,237,238,0.409
Allard,Bennett,200,237,242,0.844
Allard,Biden,54,237,177,0.305
Allard,Bingaman,86,237,244,0.363
Allard,Bond,191,237,232,0.823
Allard,Boxer,81,237,232,0.349
Allard,Brown,81,237,238,0.342
Allard,Brownback,138,237,161,0.857
Allard,Bunning,206,237,243,0.869
Allard,Burr,210,237,239,0.886
Allard,Byrd,102,237,244,0.430
Allard,Cantwell,91,237,242,0.384
Allard,Cardin,83,237,243,0.350
Allard,Carper,91,237,242,0.384
Allard,Casey,84,237,245,0.354
Allard,Chambliss,210,237,240,0.886
Allard,Clinton,83,237,239,0.350
Allard,Coburn,177,237,212,0.835
Allard,Cochran,202,237,241,0.852
Allard,Coleman,170,237,242,0.717
Allard,Collins,152,237,245,0.641
Allard,Conrad,93,237,242,0.392
Allard,Corker,204,237,243,0.861
Allard,Cornyn,222,237,243,0.937
Allard,Craig,202,237,243,0.852
Allard,Crapo,198,237,230,0.861
Allard,DeMint,213,237,238,0.899
Allard,Dodd,61,237,183,0.333
Allard,Dole,202,237,232,0.871
Allard,Domenici,187,237,239,0.789
Allard,Dorgan,103,237,242,0.435
Allard,Durbin,83,237,242,0.350
Allard,Ensign,207,237,235,0.881
Allard,Enzi,201,237,226,0.889
Allard,Feingold,82,237,245,0.346
Allard,Feinstein,88,237,243,0.371
Allard,Graham,198,237,237,0.835
Allard,Grassley,200,237,245,0.844
Allard,Gregg,191,237,238,0.806
Allard,Hagel,170,237,231,0.736
Allard,Harkin,84,237,242,0.354
Allard,Hatch,204,237,239,0.861
Allard,Hutchison,202,237,240,0.852
Allard,Inhofe,210,237,233,0.901
Allard,Inouye,69,237,217,0.318
Allard,Isakson,212,237,243,0.895
Allard,Kennedy,88,237,240,0.371
Allard,Kerry,87,237,233,0.373
Allard,Klobuchar,87,237,245,0.367
Allard,Kohl,85,237,245,0.359
Allard,Kyl,197,237,238,0.831
Allard,Landrieu,115,237,242,0.485
Allard,Lautenberg,81,237,241,0.342
Allard,Leahy,81,237,243,0.342
Allard,Levin,84,237,242,0.354
Allard,Lieberman,99,237,242,0.418
Allard,Lincoln,93,237,241,0.392
Allard,Lott,202,237,240,0.852
Allard,Lugar,169,237,245,0.713
Allard,Martinez,197,237,241,0.831
Allard,McCain,101,237,120,0.842
Allard,McCaskill,112,237,245,0.473
Allard,McConnell,214,237,245,0.903
Allard,Menendez,82,237,244,0.346
Allard,Mikulski,85,237,244,0.359
Allard,Murkowski,180,237,240,0.759
Allard,Murray,86,237,244,0.363
Allard,Nelson (FL),92,237,241,0.388
Allard,Nelson (NE),120,237,244,0.506
Allard,Obama,72,237,217,0.332
Allard,Pryor,112,237,245,0.473
Allard,Reed,81,237,243,0.342
Allard,Reid,90,237,245,0.380
Allard,Roberts,202,237,235,0.860
Allard,Rockefeller,90,237,232,0.388
Allard,Salazar,95,237,245,0.401
Allard,Sanders,84,237,243,0.354
Allard,Schumer,80,237,235,0.340
Allard,Sessions,197,237,237,0.831
Allard,Shelby,201,237,244,0.848
Allard,Smith,156,237,243,0.658
Allard,Snowe,139,237,245,0.586
Allard,Specter,154,237,242,0.650
Allard,Stabenow,89,237,243,0.376
Allard,Stevens,176,237,231,0.762
Allard,Sununu,196,237,242,0.827
