INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE STATE,OPID,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,OTHER_COST,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,BIRDS_SEEN,BIRDS_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENT,REPORTER_NAME,REPORTER_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
633309,1999-12-24,12,1999,10:15,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18R,NC,ASO ,,,USA, N523AU, ,B-737-300,148,24.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Landing Roll,0.0,,0.0,No Cloud, None,,,,,,False,False,N,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,O2111,4 BIRDS.FLT 1539. STRIKE REPTS DIFFER AS TO PHASE AND ALTITUDE.,False,False,Unknown, 2-10, 2-10,Small,,,SOURCE = TWO XXXX-X REPTS /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Air Transport Operations,2000-03-10,False
634726,1999-12-15,12,1999,     ,Day,KRDU,RALEIGH-DURHAM INTL, 23R,NC,ASO ,,,CDR, C-FPCR, ,FOKKER F28 MK 1000,372,4.0,37.0,43.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,20.0,130.0,,No Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBS,NO EVIDENCE OF BEING STRUCK OR DAMAGE REPTD BY PILOT,False,False,Yes, 1, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,,2000-03-09,False
636216,1999-12-14,12,1999,07:40,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18R,NC,ASO ,,,USA, N955VJ, ,DC-9-30,583,21.0,34.0,10.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,100.0,132.0,,Some Cloud, None,,,,,,False,False,N,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,, None,,YL001,,False,False,No, 2-10, 2-10,Small,,,SOURCE = TWO XXXX-X REPTS /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2000-03-09,False
633739,1999-12-11,12,1999,17:00,Dusk,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36R,NC,ASO ,,,USA, N440US, ,B-737-400,148,32.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Climb,100.0,150.0,,Some Cloud, None,3.0,7500.0,5000.0,11498.0,7665.0,False,True,M,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,," None, Precautionary Landing",,UNKBL,FLT 2225. RADOME REPLACED. 2.5 HRS DOWN TIME.,False,False,No, 1, 1,Large,,,SOURCE = TWO XXXX-X REPTS /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2000-03-09,False
636671,1999-12-11,12,1999,     ,,KRDU,RALEIGH-DURHAM INTL, ,NC,ASO ,,,BLR, N303UE, ,BA-41 JETSTR,168,11.0,19.0,4.0,A  ,3.0,C,2.0,4.0,4.0,,,Climb,,,0.0,,,,,,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, Precautionary Landing,,UNKBM,"AFTER ROTATION, FOUL ODOR FILLED FLT DECK. BIRD STRIKE CONFIRMED  AFTER LDG. FLT 7632",False,False,Unknown, , 1,Medium,,,SOURCE = X AIRLINE REPTS /Legacy Record=XXXXXX/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,2001-06-25,False
634197,1999-11-28,11,1999,     ,Day,KRDU,RALEIGH-DURHAM INTL, 23R,NC,ASO ,,,BUS, N581ML, ,CRJ100/200,188,10.0,22.0,4.0,A  ,3.0,D,2.0,5.0,5.0,,,Approach,200.0,140.0,,No Cloud, None,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,ZX3,,False,False,No, 2-10, 2-10,Small,,,OPER = BOMBARDIER CAPITAL INC /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2004-10-28,False
633113,1999-11-22,11,1999,     ,Night,KILM,WILMINGTON INTL, 17,NC,ASO ,,,BLR, N331UE, ,BA-41 JETSTR,168,11.0,19.0,4.0,A  ,3.0,C,2.0,4.0,4.0,,,Landing Roll,0.0,,0.0,No Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,, None,,UNKBS,"NO DMG, BUT PER POLICY, PILOT WILL HAVE CONTRACT MAINT INSPT.",False,False,No, 11-100, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,2005-04-20,False
632226,1999-11-07,11,1999,     ,,KRDU,RALEIGH-DURHAM INTL, ,NC,ASO ,,,DAL, N974DL, ,MD-88,583,37.0,34.0,10.0,A  ,4.0,D,2.0,5.0,5.0,,,Approach,,,,,,,,,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,UNKBM,"FLT 1805. BIRD STIRKE INBOUND. # BIRDS NOT REPTD, ASSUME 1.",False,False,Unknown, , 1,Medium,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,2000-03-06,False
632444,1999-11-07,11,1999,     ,Night,KRDU,RALEIGH-DURHAM INTL, 5R,NC,ASO ,,,USA, N707UW, ,A-319,04A,6.0,10.0,1.0,A  ,4.0,D,2.0,1.0,1.0,,,Approach,1200.0,150.0,,No Cloud, None,,,,,,False,False,N,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,, None,,UNKBS,NO DMG FLT 148,False,False,No, 2-10, 2-10,Small,,,X/XX/XX REMOVED DUPL REPT /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2013-04-16,False
633640,1999-11-05,11,1999,16:15,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 18R,NC,ASO ,,,USA, , ,A-319,04A,6.0,,,A  ,4.0,D,2.0,1.0,1.0,,,Landing Roll,0.0,,0.0,No Cloud, None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,, None,,UNKBS,FLT 101,False,False,Yes, 11-100, 1,Small,,, /Legacy Record=XXXXXX/,REDACTED,REDACTED,FAA Form 5200-7,Tower,2000-01-25,False
