INDX_NR,INCIDENT_DATE ,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,RUNWAY,LOCATION,ENROUTE STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,OTHER_COST,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED,INDICATED_DAMAGE,DAMAGE_LEVEL,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SPECIES_ID,SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,BIRDS_SEEN,BIRDS_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENT,SOURCE,PERSON,SINGLE_OR_MULTI_ENGINE,HOUR,MONTH_NAME,SPECIES_GENERALIZE,SPECIES_TYPE
1080125,2020-11-05,11,2020,05:00,,KRDU,RALEIGH-DURHAM INTL, 23R,,,UPS,UPS AIRLINES, N253UP, 1276,MD-11,583,39.0,22.0,7.0,A  ,4.0,D,3.0,Approach,,,,No Cloud, None,,,,,,False,False,N,, None,,ZX004,Dark-eyed junco,"Fuselage, above FO clearview sliding window.",True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,5.0,November,Dark-eyed junco,Flying animal
1080118,2020-11-05,11,2020,22:35,,KGSO,PIEDMONT TRIAD INTL, 5R,,,FDX,FEDEX EXPRESS, N950FD, 1624,B-757-200,148,26.0,37.0,37.0,A  ,4.0,D,2.0,Take-off Run,0.0,,0.0,Some Cloud, None,,,,,,False,False,,part not reported, None,,1F132,Common gray fox,"Aircraft landed RWY 5R and reported a dead fox on runway centerline short of TWY K5. Fox appeared to have endured a minor, but fatal, impact with a previous aircraft.  Carcass was fully intact, and did not appear run over.  ATC contacted FedEx1624 for possible strike during take-off roll as it departed RWY 23L prior to the landed aircraft's report.  Fox, Gray",True,False,Unknown, 1, 1,Large,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,22.0,November,Common gray fox,Land animal
1080126,2020-11-05,11,2020,11:00,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36C,,,AAL,AMERICAN AIRLINES, N809NN, 1433,B-737-800,148,43.0,10.0,1.0,A  ,4.0,D,2.0,Approach,,,,No Cloud, None,,,,,,False,False,N,, None,,UNKB,Unknown bird,Aircraft reportedly struck a bird during approach to land on runway 36C at KCLT and landed without incident.  Evidence of the strike was found on the nose of the aircraft during inspection between flights.  CLT Airside Ops personnel collected a tissue sample from the remains found that was sent to the Smithsonian for analysis.  Inspection of the arrival runway was also completed but no other remains/evidence was found.  No damage was found on the aircraft. NOTE: WAITING ON SI ID AS OF 12.4.2020,True,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,11.0,November,Unknown flying animal,Flying animal
1080130,2020-11-05,11,2020,06:52,Day,KCLT,CHARLOTTE/DOUGLAS INTL ARPT, 36C,,,RPA,REPUBLIC AIRLINES, N643RW, 3512,EMB-170,332,,22.0,4.0,A  ,4.0,D,2.0,Climb,,,,No Cloud, None,,,,,,False,False,,PART NOT REPORTED, None,,UNKB,Unknown bird,"Flight crew reported to CLT ATC that the aircraft struck a bird during departure from runway 36C at KCLT.  The flight continued to its destination (KORD).  CLT Airside Ops was informed of the strike and an inspection of the departure runway was completed, but no remains from the strike were found.  Other details are unknown/unreported.",False,False,Yes, , 1,,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,6.0,November,Unknown flying animal,Flying animal
1078243,2020-11-04,11,2020,05:20,Dawn,KRDU,RALEIGH-DURHAM INTL, 23R,,,UPS,UPS AIRLINES, N259UP, 1276,MD-11,583,39.0,22.0,7.0,A  ,4.0,D,3.0,Approach,,,,No Cloud, None,,,,,,False,False,N,, None,,Z6007,American robin,Captain side - clearview window forward frame. ASSUME 1 STRUCK,True,True,Unknown, , 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,5.0,November,American robin,Flying animal
1080107,2020-11-02,11,2020,21:45,Night,KILM,WILMINGTON INTL, 24,,,DAL,DELTA AIR LINES, , 5060,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,150.0,,,No Cloud, None,,,,,,False,False,N,, None,,N5111,Killdeer,N7607LR REPORTED AS REGISTRATION NUMBER BUT NOT A GOOD NUMBER ON FAA REGISTRY WEBSITE.,True,True,Unknown, 1, 1,Small,,,SI ID,FAA Form 5200-7-E,Airport Operations,Multi-engine,21.0,November,Killdeer,Flying animal
1078005,2020-11-01,11,2020,14:05,Day,KOAJ,ALBERT J ELLIS, 23,,,JIA,PSA AIRLINES, UNK, 5213,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Take-off Run,0.0,,0.0,Overcast, Rain,,,,,,False,False,,PART NOT REPORTED,,,ZT001,Eastern meadowlark,ASSUME 1 STRUCK. ONE PHOTO.,True,True,Unknown, 1, 1,Small,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,14.0,November,Eastern meadowlark,Flying animal
1067129,2020-10-30,10,2020,22:40,Night,KOAJ,ALBERT J ELLIS, 5,,,EDV,ENDEAVOR AIR, N918XJ, 4726,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Approach,,135.0,,No Cloud, None,,,,,,False,False,N,, None,,UNKB,Unknown bird,Final approach for runway 5. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1.,False,False,No, , 1,,,,,FAA Form 5200-7-E,Pilot,Multi-engine,22.0,October,Unknown flying animal,Flying animal
1066925,2020-10-27,10,2020,03:34,Night,KGSO,PIEDMONT TRIAD INTL, 23L,,,FDX,FEDEX EXPRESS, N973FD, 1061,B-757-200,148,26.0,37.0,37.0,A  ,4.0,D,2.0,Climb,6500.0,245.0,,No Cloud,,,,,,,False,False,N,,,,UNKBS,Unknown bird - small,No injuries or visible damage,False,False,Unknown, 1, 1,Small,,,,FAA Form 5200-7-E,Pilot,Multi-engine,3.0,October,Unknown flying animal,Flying animal
1066740,2020-10-26,10,2020,21:37,Night,KOAJ,ALBERT J ELLIS, 5/23,,,EDV,ENDEAVOR AIR, N695CA, 4726,CRJ900,188,17.0,22.0,4.0,A  ,4.0,D,2.0,Descent,15000.0,290.0,80.0,No Cloud, None,,,,,,False,True,M?,, None,,UNKBM,Unknown bird - medium,Lake Waccamaw. NOTE: WAITING FOR SI ID AS OF 11.10.20.,True,False,Unknown, 1, 1,Medium,,,,FAA Form 5200-7-E,Airport Operations,Multi-engine,21.0,October,Unknown flying animal,Flying animal
