INDX_NR,SPECIES_ID,SPECIES
1080125,ZX004,Dark-eyed junco
1080118,1F132,Common gray fox
1080126,UNKB,Unknown bird
1080130,UNKB,Unknown bird
1078243,Z6007,American robin
1080107,N5111,Killdeer
1078005,ZT001,Eastern meadowlark
1067129,UNKB,Unknown bird
1066925,UNKBS,Unknown bird - small
1066740,UNKBM,Unknown bird - medium
1062620,ZT002,Western meadowlark
1062552,UNKB,Unknown bird
1062378,UNKBS,Unknown bird - small
1077992,K3302,Red-tailed hawk
1067284,Q21,Cuckoos
1066845,T1002,Chimney swift
1061522,UNKBS,Unknown bird - small
1061397,Z6016,Gray-cheeked thrush
1067429,T1002,Chimney swift
1067507,ZS004,Black-and-white warbler
1067555,ZX302,Swamp sparrow
1067497,UNKB,Unknown bird
1067757,UNKB,Unknown bird
1067670,1C2,Microbats
1067776,T1002,Chimney swift
1067675,ZX102,Northern cardinal
1067749,UNKBS,Unknown bird - small
1067676,S5213,Common nighthawk
1067672,K5114,American kestrel
1067734,UNKB,Unknown bird
1067635,T1002,Chimney swift
1067623,UNKBS,Unknown bird - small
1067590,UNKB,Unknown bird
1067608,T1002,Chimney swift
1066857,K33,Hawks
1066720,ZS035,Bay-breasted warbler
1066653,ZT001,Eastern meadowlark
1066598,N5111,Killdeer
1061477,UNKBM,Unknown bird - medium
1061488,UNKB,Unknown bird
1061519,YI,Swallows
1061549,UNKB,Unknown bird
1061464,Q2101,Yellow-billed cuckoo
1050609,UNKBS,Unknown bird - small
1040035,UNKBM,Unknown bird - medium
1039683,UNKBS,Unknown bird - small
1061011,K5105,Merlin
1039395,UNKB,Unknown bird
1061013,Z6004,Swainson's thrush
1039104,UNKBS,Unknown bird - small
1061016,T1002,Chimney swift
1039545,UNKBL,Unknown bird - large
1039540,K5114,American kestrel
1040315,UNKBS,Unknown bird - small
1040113,O2205,Mourning dove
1060998,YI005,Barn swallow
1038468,N5111,Killdeer
1080076,K3201,Bald eagle
1038094,UNKBS,Unknown bird - small
1038990,T1002,Chimney swift
1038962,T1002,Chimney swift
1037473,UNKB,Unknown bird
1036921,O2205,Mourning dove
1037461,UNKBS,Unknown bird - small
1037561,N5111,Killdeer
1080300,UNKB,Unknown bird
1080278,UNKB,Unknown bird
1038896,ZS012,American redstart
1038894,T1002,Chimney swift
1037559,O2205,Mourning dove
1038888,ZL005,Red-eyed vireo
1036456,UNKB,Unknown bird
1038889,T1002,Chimney swift
1080223,UNKB,Unknown bird
1080229,UNKB,Unknown bird
1036012,UNKBS,Unknown bird - small
1035703,UNKB,Unknown bird
1035940,N5111,Killdeer
1035560,UNKBS,Unknown bird - small
1037556,O2205,Mourning dove
1080098,UNKBS,Unknown bird - small
1034496,O22,Doves
1038027,YI005,Barn swallow
1038795,YI005,Barn swallow
1038794,UNKBS,Unknown bird - small
1034437,1C2,Microbats
1035514,UNKB,Unknown bird
1034347,UNKB,Unknown bird
1033768,UNKBM,Unknown bird - medium
1035305,Z6015,Eastern bluebird
1033305,O2205,Mourning dove
1038786,UNKB,Unknown bird
1036852,YI009,Cliff swallow
1032928,ZT001,Eastern meadowlark
1079894,UNKB,Unknown bird
1032698,UNKBS,Unknown bird - small
1032757,1C2,Microbats
1034463,YI005,Barn swallow
1034462,1C2112,Evening bat
1034974,T1002,Chimney swift
1034942,ZX017,American goldfinch
1034708,N5111,Killdeer
1034813,UNKBS,Unknown bird - small
1033993,ZT001,Eastern meadowlark
1034065,UNKBS,Unknown bird - small
1038015,T1002,Chimney swift
