Countyname,total,blwpov,perblwpov
Alamance,148493,27236,18.3
Alexander,36257,6219,17.2
Alleghany,10815,2145,19.8
Anson,24381,5897,24.2
Ashe,26714,5629,21.1
Avery,15552,2806,18.0
Beaufort,47100,9875,21.0
Bertie,19721,4612,23.4
Bladen,34340,8860,25.8
Brunswick,109534,18191,16.6
Buncombe,235776,40206,17.1
Burke,87586,17491,20.0
Cabarrus,179655,23799,13.2
Caldwell,81216,15822,19.5
Camden,9973,598,6.0
Carteret,66024,9516,14.4
Caswell,22162,5014,22.6
Catawba,152027,23156,15.2
Chatham,64021,7920,12.4
Cherokee,26910,4812,17.9
Chowan,14432,4179,29.0
Clay,10485,2543,24.3
Cleveland,95528,18438,19.3
Columbus,55073,13758,25.0
Craven,100095,16641,16.6
Cumberland,309395,52604,17.0
Currituck,23702,2311,9.8
Dare,34042,2980,8.8
Davidson,160477,26105,16.3
Davie,40862,5457,13.4
Duplin,58274,15301,26.3
Durham,263562,48737,18.5
Edgecombe,54636,13790,25.2
Forsyth,344697,64022,18.6
Franklin,59388,9549,16.1
Gaston,204058,36554,17.9
Gates,11891,2334,19.6
Graham,8640,1821,21.1
Granville,54720,8427,15.4
Greene,19299,4489,23.3
Guilford,481397,87109,18.1
Halifax,52616,14422,27.4
Harnett,115027,19812,17.2
Haywood,58217,9672,16.6
Henderson,106366,14975,14.1
Hertford,21804,5671,26.0
Hoke,47632,10899,22.9
Hyde,5066,1299,25.6
Iredell,159629,21990,13.8
Jackson,36744,7994,21.8
Johnston,170329,29264,17.2
Jones,10098,1691,16.7
Lee,57587,10863,18.9
Lenoir,58180,13799,23.7
Lincoln,77946,12185,15.6
McDowell,44072,9669,21.9
Macon,33367,7092,21.3
Madison,19825,3426,17.3
Martin,23975,5565,23.2
Mecklenburg,931797,143581,15.4
Mitchell,15079,2766,18.3
Montgomery,26677,6828,25.6
Moore,88547,13775,15.6
Nash,93351,15831,17.0
New Hanover,201530,34053,16.9
Northampton,20827,5478,26.3
Onslow,165261,25173,15.2
Orange,125957,22424,17.8
Pamlico,12464,1717,13.8
Pasquotank,38058,6996,18.4
Pender,52060,10044,19.3
Perquimans,13341,2695,20.2
Person,38941,7024,18.0
Pitt,164294,39860,24.3
Polk,20105,3348,16.7
Randolph,140270,24921,17.8
Richmond,45193,11727,25.9
Robeson,130843,41533,31.7
Rockingham,91696,16425,17.9
Rowan,133192,25106,18.8
Rutherford,65988,14188,21.5
Sampson,62768,14337,22.8
Scotland,34332,11097,32.3
Stanly,58267,9396,16.1
Stokes,46524,7364,15.8
Surry,72392,14383,19.9
Swain,13700,3731,27.2
Transylvania,31935,4557,14.3
Tyrrell,3648,757,20.8
Union,203162,19133,9.4
Vance,44482,12433,28.0
Wake,906662,99679,11.0
Warren,20022,5250,26.2
Washington,12818,3040,23.7
Watauga,46137,14420,31.3
Wayne,120030,26555,22.1
Wilkes,68124,15497,22.7
Wilson,79738,18512,23.2
Yadkin,37870,7001,18.5
Yancey,17517,3513,20.1
